cuda
Epoch [0/500], Loss: 0.9724
Epoch [294/500], Loss: -1.2602
Epoch [296/500], Loss: -1.2612
Epoch [298/500], Loss: -1.2624
Epoch [300/500], Loss: -1.2635
Epoch [302/500], Loss: -1.2647
Epoch [304/500], Loss: -1.2659
Epoch [306/500], Loss: -1.2670
Epoch [308/500], Loss: -1.2680
Epoch [310/500], Loss: -1.2691
Epoch [312/500], Loss: -1.2702
Epoch [314/500], Loss: -1.2714
Epoch [316/500], Loss: -1.2724
Epoch [318/500], Loss: -1.2734
Epoch [320/500], Loss: -1.2743
Epoch [322/500], Loss: -1.2753
Epoch [324/500], Loss: -1.2761
Epoch [326/500], Loss: -1.2766
Epoch [328/500], Loss: -1.2768
Epoch [330/500], Loss: -1.2777
Epoch [332/500], Loss: -1.2786
Epoch [334/500], Loss: -1.2793
Epoch [336/500], Loss: -1.2802
Epoch [338/500], Loss: -1.2810
Epoch [340/500], Loss: -1.2817
Epoch [342/500], Loss: -1.2825
Epoch [344/500], Loss: -1.2833
Epoch [346/500], Loss: -1.2843
Epoch [348/500], Loss: -1.2851
Epoch [350/500], Loss: -1.2860
Epoch [352/500], Loss: -1.2870
Epoch [354/500], Loss: -1.2879
Epoch [356/500], Loss: -1.2889
Epoch [358/500], Loss: -1.2902
Epoch [360/500], Loss: -1.2913
Epoch [362/500], Loss: -1.2924
Epoch [364/500], Loss: -1.2940
Epoch [366/500], Loss: -1.2951
Epoch [368/500], Loss: -1.2961
Epoch [370/500], Loss: -1.2966
Epoch [372/500], Loss: -1.2973
Epoch [374/500], Loss: -1.2979
Epoch [376/500], Loss: -1.2983
Epoch [378/500], Loss: -1.2991
Epoch [380/500], Loss: -1.2998
Epoch [382/500], Loss: -1.3006
Epoch [384/500], Loss: -1.3029
Epoch [386/500], Loss: -1.3035
Epoch [388/500], Loss: -1.3043
Epoch [390/500], Loss: -1.3053
Epoch [392/500], Loss: -1.3061
Epoch [394/500], Loss: -1.3070
Epoch [396/500], Loss: -1.3078
Epoch [398/500], Loss: -1.3085
Epoch [400/500], Loss: -1.3091
Epoch [402/500], Loss: -1.3101
Epoch [404/500], Loss: -1.3110
Epoch [406/500], Loss: -1.3117
Epoch [408/500], Loss: -1.3124
Epoch [410/500], Loss: -1.3131
Epoch [412/500], Loss: -1.3138
Epoch [414/500], Loss: -1.3146
Epoch [416/500], Loss: -1.3151
Epoch [418/500], Loss: -1.3160
Epoch [420/500], Loss: -1.3165
Epoch [422/500], Loss: -1.3174
Epoch [424/500], Loss: -1.3181
Epoch [426/500], Loss: -1.3187
Epoch [428/500], Loss: -1.3195
Epoch [430/500], Loss: -1.3202
Epoch [432/500], Loss: -1.3209
Epoch [434/500], Loss: -1.3212
Epoch [436/500], Loss: -1.3220
Epoch [438/500], Loss: -1.3225
Epoch [440/500], Loss: -1.3235
Epoch [442/500], Loss: -1.3243
Epoch [444/500], Loss: -1.3250
Epoch [446/500], Loss: -1.3258
Epoch [448/500], Loss: -1.3262
Epoch [450/500], Loss: -1.3261
Epoch [452/500], Loss: -1.3271
Epoch [454/500], Loss: -1.3283
Epoch [456/500], Loss: -1.3291
Epoch [458/500], Loss: -1.3296
Epoch [460/500], Loss: -1.3302
Epoch [462/500], Loss: -1.3309
Epoch [464/500], Loss: -1.3317
Epoch [466/500], Loss: -1.3324
Epoch [468/500], Loss: -1.3329
Epoch [470/500], Loss: -1.3336
Epoch [472/500], Loss: -1.3343
Epoch [474/500], Loss: -1.3348
Epoch [476/500], Loss: -1.3355
Epoch [478/500], Loss: -1.3364
Epoch [480/500], Loss: -1.3369
Epoch [482/500], Loss: -1.3379
Epoch [484/500], Loss: -1.3384
Epoch [486/500], Loss: -1.3390
Epoch [488/500], Loss: -1.3395
Epoch [490/500], Loss: -1.3402
Epoch [492/500], Loss: -1.3407
Epoch [494/500], Loss: -1.3415
Epoch [496/500], Loss: -1.3420
Epoch [498/500], Loss: -1.3428
Traceback (most recent call last):
  File "TransitionModel.py", line 138, in <module>
    train_predict = mdnrnn(dataX[size-1000:size])
  File "/mnt/storage/software/languages/anaconda/Anaconda3-2019.07/lib/python3.7/site-packages/torch/nn/modules/module.py", line 547, in __call__
    result = self.forward(*input, **kwargs)
TypeError: forward() missing 1 required positional argument: 'h'
